공고번호,추정가격,지역제한,종목,특수실적,계약방법,적격평가세부기준,입력일
R26BK01315827-000,227272728,부산,지반조성포장,,적격심사,행자부_별표-6,2026-02-04
R26BK01314893-000,372000000,충남,전기,,적격심사,조달청_별표-2,2026-02-04
R26BK01314527-000,661780000,전북,기계가스설비,,적격심사,행자부_별표-5,2026-02-04
2025-27690,11026364,"경기,양주시",전기,,수의,,2026-02-05
R26BK01320174-000,40909090,충남,전기소방/전문소방,,수의,,2026-02-05
R26BK01320103-000,73454545,충남,통신,,수의,,2026-02-05
R26BK01319093-000,151363637,대구,전기,,수의,,2026-02-05
R26BK01319281-000,151363637,대구,전기,,수의,,2026-02-05
R26BK01320321-000,130127273,"경기,광주시",통신,,수의,,2026-02-05
R26BK01319924-000,40282727,"경북,안동시",전기,,수의,,2026-02-05
R26BK01316990-000,19124546,서울/인천/경기,전기,중소기업등록,수의,,2026-02-05
R26BK01318836-000,23540000,"경북,청도군",전기소방/전문소방,,수의,,2026-02-05
R26BK01318305-000,34810000,"경북,청도군",전기,,수의,,2026-02-05
R26BK01318607-000,30830000,"경북,청도군",통신,,수의,,2026-02-05
R26BK01317003-000,155482727,"인천,계양구/인천,부평구/인천,남동구/인천,동구/인천,서구/인천,연수구/인천,중구/인천,미추홀구",통신,,수의,,2026-02-05
R26BK01317826-000,80318182,"충북,제천시",전문소방,,수의,,2026-02-05
R26BK01317681-000,31818182,"충남,공주시",통신,,수의,,2026-02-05
R26BK01317767-000,40909091,"충남,공주시",전기,,수의,,2026-02-05
R26BK01319997-000,88300000,"전북,남원시",전기,,수의,,2026-02-05
R26BK01316402-000,60112727,제주,전기,,수의,,2026-02-05
R26BK01318696-000,118100000,부산,전기,,수의,,2026-02-05
R26BK01320153-000,19820000,"경북,구미시",전기,,수의,,2026-02-05
R26BK01318653-000,24330000,"전북,고창군",통신,,수의,,2026-02-05
R26BK01318920-000,101549091,제주,"전문소방/(전기소방,기계소방)",,수의,,2026-02-05
R26BK01318906-000,95980909,제주,통신,,수의,,2026-02-05
R26BK01320038-000,90909091,"전북,완주군",전기,,수의,,2026-02-05
R26BK01319919-000,133640000,"전북,완주군",전기,,수의,,2026-02-05
2026-00585,37792773,"강원,춘천시",전기,,수의,,2026-02-05
R26BK01318698-000,82770000,"전남,목포시/전남,무안군","전문소방/(전기소방,기계소방)",,수의,,2026-02-05
R26BK01315315-000,45299091,서울,통신,,수의,,2026-02-05
R26BK01317953-000,32232728,대전,전기,,수의,,2026-02-05
R26BK01318085-000,108431818,부산,통신,,수의,,2026-02-05
R26BK01320167-000,30879091,"경북,포항시",전기,,수의,,2026-02-05
R26BK01319784-000,144863637,"경기,안양시",전기,,수의,,2026-02-05
R26BK01317582-001,118060910,서울,전기,,수의,,2026-02-05
R26BK01317657-001,68823637,서울,통신,,수의,,2026-02-05
R26BK01283837-000,134941000,"충남,홍성군",전기,,수의,,2026-02-05
